No.;Time;Comment;Scramble;Date;P.1
8366;9.25;;L2 B R' L F2 R D L2 B' L2 B' D2 F2 U2 F' L2 D2 L2 U';2026-01-10 10:14:21;9.25
8367;12.75;;F' R B' U' D' R L' F' D L F2 R2 D2 B U2 F L2 F' L2 U2 B2;2026-01-10 10:14:38;12.75
8368;8.96;;L2 B' L2 F2 R2 B L2 B D2 B' F' R' D L' U B2 L' D2 R U2;2026-01-10 10:15:05;8.96
8369;8.19;;R F2 U' R2 D2 L2 F2 D' B2 L2 F2 R2 U' B' D' F' D' U2 L' D R';2026-01-10 10:15:27;8.19
8370;9.48;;D' L2 B2 D2 B L2 D2 R2 B2 L2 B U2 F U R' B' D' L R D' B;2026-01-10 10:15:51;9.48
8371;10.04;;F L2 F2 D' B2 F2 U' L2 F2 U' R2 D L' U L' F' R' B' L B F;2026-01-10 10:16:16;10.04
8372;10.12;;R U B' L' U B2 U B' U D' B2 U L2 B2 D2 L2 F2 D R;2026-01-10 10:16:37;10.12
8373;9.37;;R' U F' R' F B' R' U R U F2 L2 U2 B2 D2 F2 D2 R2 U R2;2026-01-10 10:16:59;9.37
8374;8.19;;U B2 D' U' L2 F2 L2 B2 D R2 U L2 F D2 L2 F L' B D F' R';2026-01-10 10:17:24;8.19
8375;8.36;;U2 B2 L' U2 R B2 L U2 B2 D2 U2 F D2 R2 B2 R' B D' B2 L';2026-01-10 10:17:51;8.36
8376;7.82;;B R' B2 U2 B2 F U2 B' U2 R2 D2 U2 F' L2 U' F R F2 R D B;2026-01-10 10:18:13;7.82
8377;10.00;;B2 D F2 D L2 F2 L2 B2 D B2 D2 R2 L' F2 D' L B F' U' B2 U;2026-01-10 10:18:29;10.0
8378;8.36;;F' L2 F2 L2 R' D2 F2 R' B2 U2 B' D2 B R B2 U' R' F';2026-01-10 10:18:50;8.36
8379;9.72;;L B R2 B2 F2 U' R2 D B2 D2 U L2 U L' B' D' U' L2 B L;2026-01-10 10:19:08;9.72
8380;12.02;;D2 U R2 D U2 R2 B2 U F D2 L' B' L' D F' L R U';2026-01-10 10:19:30;12.02
8381;9.00;;B2 D' B2 D2 B2 U R2 U' F2 D B' R2 F2 L' D' R2 U' R F2 L';2026-01-10 10:19:53;9.0
8382;14.03;;U2 F R2 F2 D2 F D2 U2 B2 D2 F' L B' U' R U R2 D' L B2 R';2026-01-10 10:20:15;14.03
8383;10.40;;B L F' D B R2 L B2 U' R2 D2 R' F2 U2 R F2 R' U2 R D2;2026-01-10 10:20:37;10.4
8384;8.48;;U2 R' U2 R2 D' B2 D' R2 F2 U R2 U' L U' B R2 U' L B2 R;2026-01-10 10:20:57;8.48
8385;8.99;;B2 L2 U' B2 U' B2 F2 D R2 B' D2 R' F2 U' F' L B' L2 F';2026-01-10 10:21:29;8.99
8386;10.63;;F' L' D F2 R' D2 B R' D2 R2 U2 R2 F' D2 B' U2 B' U2;2026-01-10 10:21:46;10.63
8387;11.44;;L' U2 L2 U2 F D2 F U2 L2 F' D2 U2 F2 R' U' F R2 B L D2 B';2026-01-10 10:22:07;11.44
8388;9.56;;R2 D2 R2 U' F2 U L2 B2 U' R2 U' L2 B L2 R F D B' R' U L';2026-01-10 10:22:32;9.56
8389;9.38;;R B R2 F' U2 R2 D2 F' D2 U2 B R' U R2 D' U2 B' L D;2026-01-10 10:22:54;9.38
8390;8.76;;U D' B' L F' R' D' U2 L2 B2 R2 B U2 F2 R2 U2 D' L;2026-01-10 10:23:14;8.76
8391;11.28;;B R' D' F2 L2 D' R2 D' L2 D' R2 F2 D' F' D2 F D B2 R' B;2026-01-10 10:23:34;11.28
8392;8.56;;R' D R2 U2 R2 F' L2 D2 F D2 F U2 F' U2 D B L' B2 R2 D F';2026-01-10 10:24:00;8.56
8393;7.95;;L D2 R F' U2 D' L' B' R U R2 L2 D2 F2 B2 U' B2 U B2 R2 U;2026-01-10 10:24:37;7.95
8394;9.26;;U' R2 U B2 L2 U F2 U' L2 D' L2 F2 B U2 B2 R' U L2 B' R B2;2026-01-10 10:25:22;9.26
8395;7.29;;U2 L' U2 R' D2 B2 L' R' F2 U2 D B2 U' R F R2 B' R2 B';2026-01-10 10:25:40;7.29
8396;11.31;;R D2 U2 R' F2 L2 U2 R2 U2 R' U2 D' B' U R' F' L' U L' B' U';2026-01-10 10:25:56;11.31
8397;9.74;;F R U L B' R' D F D2 B R2 F2 R2 U2 L2 D' F2 L2 B2 L2 D';2026-01-10 10:26:27;9.74
8398;11.45;;R' U' L2 F2 D' B2 U' R2 F2 U L2 F' L' U L D2 R' F;2026-01-10 10:26:50;11.45
8399;7.60;;D' B2 R U D B U F' U2 F' L2 B U2 B U2 F' R2 F2 L';2026-01-10 10:27:40;7.6
8400;10.75;;U2 R D F' U2 R F2 U' B U2 R2 B2 L2 U' F2 R2 U2 F2 D R2 B2;2026-01-10 10:27:58;10.75
8401;7.47;;L2 U' L' U2 D2 L F2 D' F R F D2 F U2 D2 F2 B R2 F U2;2026-01-12 16:45:52;7.47
8402;8.67;;D2 F2 D' R2 F2 U' L2 R2 U' B2 D F' D' U' R2 B D R F2 D;2026-01-12 16:46:12;8.67
8403;11.56;;B' U D F' R2 U' L' U2 D2 F D2 F U2 F2 B U2 B D' L;2026-01-12 16:46:35;11.56
8404;8.98;;D' B D R2 U F2 D B2 F2 D R2 U R2 U2 L D' F' D' R U' B';2026-01-12 16:46:56;8.98
8405;8.90;;B2 F2 U2 B2 L' B2 L2 R D2 R2 F2 B L' U2 B' L U' B D';2026-01-12 16:47:15;8.9
8406;10.88;;F' L2 F U2 L2 B' L2 R2 U2 B' R2 B L' D L' D L' B' F L' R2;2026-01-12 16:47:43;10.88
8407;8.63;;F B L' D' F2 D2 R F U2 D2 F2 U2 B' D2 B L2 B' L' B2;2026-01-12 16:48:04;8.63
8408;11.15;;U R2 B2 F2 D2 R2 D' B2 D2 L2 B L' B' F D' U' R B' D' L';2026-01-12 16:48:36;11.15
8409;9.90;;U' D F2 L' F B U R D' L2 D2 F' R2 B R2 B L2 B U2 F2;2026-01-12 16:49:23;9.9
8410;9.72;;R D B2 L2 D U L2 F2 D' B2 R2 U2 L' D F' R2 F2 R2 B D';2026-01-12 16:51:21;9.72
8411;9.54;;U B' D B L B U B2 L' D L2 F2 D2 B2 U R2 D F2 L2 U2;2026-01-12 17:37:40;9.54
8412;9.48;;R D2 B D' F2 R2 B' D' F B2 L D2 B2 R D2 B2 L D2 F2 B2 R2;2026-01-12 17:37:59;9.48
8413;10.03;;B' F2 L2 D L2 D F2 L2 D' U2 F2 D R B' L2 D' U L U2 B L';2026-01-12 17:38:18;10.03
8414;9.50;;L' B R B' L2 D2 U2 F2 D2 B' R2 U2 F' R2 U R2 B D' R U' R;2026-01-12 17:38:38;9.5
8415;10.38;;B2 U' D B2 L F' B2 R U F2 R2 L2 D F2 D F2 U' B2 R2 U2;2026-01-12 17:38:57;10.38
8416;9.83;;B' R2 B2 D' B2 D2 L2 U R2 D B2 R2 U2 R F2 L' R2 F' D' B R;2026-01-12 17:39:21;9.83
8417;8.52;;L2 F2 U2 R2 U2 L2 F2 U2 R' U2 R2 F2 U F' L2 R' U' L2 D' R2 F2;2026-01-12 17:39:42;8.52
8418;11.05;;F2 B' D F L' D F' U F2 U2 R' U2 L2 D2 L' U2 B2 U2 R B';2026-01-12 17:39:58;11.05
8419;9.17;;L2 F' L2 U' F2 U' B2 U F2 U' B2 L2 U R' F2 L F D' B R' U;2026-01-12 17:40:18;9.17
8420;18.22;;F2 U2 L' U2 R2 B2 R U2 R2 F2 R D U B' F' L' U2 B L2 D B;2026-01-12 17:40:35;18.22
8421;8.70;;L2 B2 D2 U2 B L2 D2 B' R2 F' R2 L D' R' D2 B F' D2 L' F' L2;2026-01-12 17:41:08;8.7
8422;11.12;;U2 B2 L2 U R2 D' B2 U' F2 L2 R2 U F' D2 U' F' L F2 D' U';2026-01-12 17:41:24;11.12
8423;8.25;;B2 L' B2 U2 L' B2 L' U2 R' B2 D2 U R U2 R D' B' D' U' F' D;2026-01-12 17:41:45;8.25
8424;8.01;;D B R2 U L' U' F2 L' U2 D2 L2 B' D2 B U2 F D2 B' D2 R;2026-01-12 17:42:02;8.01
8425;11.44;;L' U' R' B' L' F2 U F B2 U2 F L2 D2 B' L2 D2 F2 D2 B L' U;2026-01-12 17:42:22;11.44
8426;7.70;;F2 D L2 F2 U2 F2 D2 F2 L2 U B' U L' R' F U B' R' F L';2026-01-12 17:42:46;7.7
8427;10.94;;D L2 F L2 U2 F D2 L2 F D2 B2 U2 B L' F2 U' B' F2 D L2 F2;2026-01-12 17:43:07;10.94
8428;10.42;;U' F' L2 U2 F U2 F D2 F' D2 U2 F R2 U' F2 L' B' F' U' F';2026-01-12 17:43:26;10.42
8429;9.89;;B' R F D' F2 U' B2 U2 F2 L2 U L2 U' F' R' U L B2 F L';2026-01-12 17:43:44;9.89
8430;11.78;;F' U2 B' R2 D2 F D2 L2 U2 R2 B D L' U' L D R' B L2 B;2026-01-12 17:44:03;11.78
8431;10.31;;R' D' F2 U' D' B' D' F R2 D2 L' F2 R' F2 R D2 R' F2 U2;2026-01-12 17:44:41;10.31
8432;9.80;;U' R L' F' B2 R L2 B' D F' L2 F B2 L2 D2 F' R2 F R2;2026-01-12 17:45:01;9.8
8433;12.70;;F2 D2 R' B2 R F2 D2 L' R2 F2 R D' L' F' U R D' B' L2 U L';2026-01-12 17:45:21;12.7
8434;10.14;;U L2 F2 U2 F2 D R2 F2 R2 D' F' D U' L2 R' U F2 R U';2026-01-12 17:45:47;10.14
8435;9.95;;F R2 F R2 F L2 D2 F L2 F' D2 F' L' R' F D' U' L2 B D F;2026-01-12 17:46:07;9.95
8436;9.58;;R2 D' L2 D' B2 D' U2 F2 R2 D' B2 F D L R F2 U F2 D2 U2 R;2026-01-12 17:46:32;9.58
8437;10.68;;L2 D' R2 F2 D2 U F2 D F2 R2 U' F R2 U' B F R2 D L' U R';2026-01-12 17:46:49;10.68
8438;10.62;;F2 L' D2 R L' U B F2 R2 D2 R2 U D2 L2 F2 R2 B2 U' B2 L' U';2026-01-12 17:47:12;10.62
8439;9.11;;D2 F2 U F2 D' L2 U' R2 B2 D B2 L' B' F U2 L' B' U L D B';2026-01-12 17:47:35;9.11
8440;9.47;;F2 R2 D R2 U F2 D R2 F2 U2 F2 D2 L' B L' B2 L' F R B';2026-01-12 17:49:29;9.47
8441;8.89;;R B R2 D' B' U2 R2 L' F' U' R2 F2 L2 U B2 D B2 R2 U' B2 U';2026-01-12 17:49:54;8.89
8442;10.50;;B2 R2 D F2 D' B2 D F2 U2 L2 U' L' D2 F' L2 R2 B' L U2 R U';2026-01-12 17:50:15;10.5
8443;9.57;;L' U' D2 F2 L U2 F2 D2 B2 R2 U2 R' U2 L U' B D' B U' B' F;2026-01-12 17:50:37;9.57
8444;7.81;;B L U2 B2 R2 U2 R B2 F2 L U2 L' D' L' B' U' L' U2 F R;2026-01-12 17:50:55;7.81
8445;8.85;;F2 D' L2 U2 B2 L2 U2 B R2 F2 R2 U2 B2 F' L' U F2 L' D' L' R';2026-01-12 17:51:13;8.85
8446;12.25;;L2 D2 R' U2 F2 L D2 B2 L B2 D2 F2 D' R' B2 U B L D' F R;2026-01-12 17:51:31;12.25
8447;8.69;;R U2 L' B' D2 B2 D2 L2 U2 B L2 F' U F' L2 U B2 L D2;2026-01-12 17:51:55;8.69
8448;8.44;;U F2 D2 B2 F2 D F2 R2 D' L2 U2 L F' R' F' R' B' L2 D L2 R2;2026-01-12 17:52:12;8.44
8449;8.57;;L2 R2 F2 U L2 D B2 D' U' L2 D B2 F D' L R2 D U2 L' B';2026-01-12 17:52:32;8.57
8450;12.11;;L2 F' R2 U2 B2 D2 R2 D2 B' R2 B D' L U2 F U2 B' L' B2 R;2026-01-12 17:53:06;12.11
8451;8.30;;U2 R' F2 L2 B R2 B D2 L2 R2 B R2 D2 B' D R B2 U2 L B2 D2;2026-01-13 10:37:35;8.3
8452;9.01;;B2 R' U L' B2 D' R2 B D F2 D2 R2 L' D2 R2 L' F2 U2;2026-01-13 10:37:52;9.01
8453;11.05;;B' R B2 D2 R2 U' L2 U B2 D R2 B D L R2 B L' U R';2026-01-13 10:38:23;11.05
8454;10.77;;D' R U L2 B2 U2 B R2 U2 B D2 B2 L2 F2 L U B R2 D B' R';2026-01-13 10:38:45;10.77
8455;9.38;;U2 L2 U' R2 D B2 F2 D' R2 U L' U2 B F U2 B' D L F R2;2026-01-13 10:39:16;9.38
8456;10.10;;B2 L2 F' U2 F' D2 F U2 B R2 F L' F L2 U' R2 D2 F' L' R;2026-01-13 10:39:34;10.1
8457;8.41;;L' F' R2 D' R2 F2 U R2 U' L2 D2 U' L2 U' F' L B' D' L2 D2 L2;2026-01-13 10:40:04;8.41
8458;8.94;;B' U' R' B2 L' U2 B2 U2 B2 R' B2 F2 L' F D F U F2 R2 F R;2026-01-13 10:40:20;8.94
8459;9.53;;R' B' U D2 B' L' U' D' R F2 D2 B L2 F U2 L2 B L2 D2;2026-01-13 10:40:38;9.53
8460;9.09;;R F2 D2 R U F' L2 F R D2 L' U2 D2 L F2 D2 F2 U2;2026-01-13 10:40:56;9.09
8461;7.12;;D' R B U' D L F' L D' F2 R D2 R2 B2 L D2 R' F2 L2 F2 L;2026-01-13 10:42:02;7.12
8462;8.89;;U' B D F2 L2 R2 D2 F2 L2 D R2 D B2 U2 B' F2 L B' U' R' U;2026-01-13 10:42:20;8.89
8463;10.38;;L' D2 F R2 F2 L2 D2 B' D2 U2 B' U2 F2 R' D R B' U' R U';2026-01-13 10:42:37;10.38
8464;7.98;;U2 B L2 F' R' B U F' L' F2 U' B2 D2 L2 D' F2 U' R2 L2;2026-01-13 10:42:59;7.98
8465;8.39;;D' B2 U L2 U B2 D L2 B2 D' F2 D' R F L2 R2 B' D' F2 D2;2026-01-13 10:43:20;8.39
8466;6.91;;F2 L U2 B2 D' L2 U L2 U F2 U2 L2 F2 L2 B U R U2 B2 U2;2026-01-13 10:43:37;6.91
8467;8.94;;U2 B2 D F2 U2 L2 U2 R2 B2 D2 R2 B D F' L' B2 D B' U L U;2026-01-13 10:43:57;8.94
8468;10.32;;L' F L' U2 B2 L2 U2 L' F2 R2 F2 U2 L' B R2 U R2 F2 D R;2026-01-13 10:44:24;10.32
8469;8.20;;U2 B D2 F' U2 B2 R2 B R2 D2 L2 F' L F R B F' D L U2 L;2026-01-13 10:44:51;8.2
8470;9.42;;D' F2 L2 D2 L2 R2 D L2 U L2 U' R' B' L' R U R' D2 R' F' D';2026-01-13 10:45:10;9.42
8471;8.08;;U2 L2 D' R2 D L2 F2 L2 U2 B' L U' L' F' D2 U2 L' B2 U;2026-01-13 10:45:27;8.08
8472;8.06;;R F' R' B2 L' D2 B R2 U R2 U' B2 L2 F2 U B2 D' R2 D R U;2026-01-13 10:45:42;8.06
8473;10.91;;D' F' U2 R U D' B D' B' L2 U2 B2 R2 L B2 R' F2 R' U2;2026-01-13 10:46:13;10.91
8474;9.93;;U2 R2 F L' D2 R' F' U F' B' U2 R2 L2 D2 R2 F' D2 B L2 D';2026-01-13 10:46:34;9.93
8475;7.40;;R' F' U2 L' D' L U B' D' B2 D F2 U B2 D2 L2 F2 U' B2 F;2026-01-13 10:46:55;7.4
8476;9.07;;D' R U F2 L2 D' B2 F2 D R2 U' R2 B R F' L' D2 F L2 F';2026-01-13 10:47:25;9.07
8477;9.28;;D R2 F R' F2 U' R2 D F2 R' B2 L D2 R2 U2 R U2 L B2 U';2026-01-13 10:48:03;9.28
8478;11.23;;R' D2 L R2 U2 B2 R B2 L2 U2 F2 U2 B' R F' D' R2 U B L2 B2;2026-01-13 10:48:40;11.23
8479;8.84;;L D B R2 D2 F' U2 L2 B2 L2 B' F' U L F2 U F L2 D2;2026-01-13 10:49:01;8.84
8480;8.52;;D2 B F U2 B R2 F' R2 F' L' B2 L' B R D B' R2 U2;2026-01-13 10:49:19;8.52
